Option ID|Option Template|Combo Count|Question Count|Base Model %|Local Model %
1|Total sales TIMEFRAME_PARAMETER.|7|35|1.0|
2|Total sales in DEPARTMENTGROUP_PARAMETER TIMEFRAME_PARAMETER.|70|280|0.3464285714285714|
3|Total sales in DEPARTMENTGROUP2_PARAMETER TIMEFRAME_PARAMETER.|315|315|0.3746031746031746|
4|Total sales in DEPARTMENTGROUP3_PARAMETER TIMEFRAME_PARAMETER.|840|840|0.34404761904761905|
5|Total sales excluding EXCLUDE_DEPARTMENTGROUP_PARAMETER TIMEFRAME_PARAMETER.|70|280|0.775|
6|The top performing store TIMEFRAME_PARAMETER.|7|42|0.9047619047619048|
7|The top performing store in SALES_GEOGRAPHY_PARAMETER TIMEFRAME_PARAMETER.|77|77|0.6233766233766234|
8|The top performing store in SALES_GEOGRAPHY_PARAMETER in DEPARTMENTGROUP_PARAMETER TIMEFRAME_PARAMETER.|770|770|0.43896103896103894|
